40,46
0
20,21;20,22;21,21;21,22;16,26;16,27;17,26;17,27;16,22;16,23;17,22;17,23;21,26;21,27;22,26;22,27;20,24;20,25;21,24;21,25;18,25;18,26;19,25;19,26;14,20;14,21;14,22;14,23;14,24;14,25;15,20;16,20;17,20;18,20;19,20;20,20;21,20;14,26;14,27;14,28;14,29;22,20;23,20;24,20;24,21;24,22;24,23;24,24;24,25;24,26;24,27;24,28;24,29;24,30;23,30;22,30;21,30;20,30;19,30;18,30;17,30;15,30;14,30;16,30;18,22;18,23;19,22;19,23;19,28;19,29;20,28;20,29;12,25;12,26;13,25;13,26;18,18;18,19;19,18;19,19;25,25;25,26;26,25;26,26;19,32;19,33;20,32;20,33;
1000,500
5,20,21,0,1
5,16,26,0,1
6,16,22,0,1
6,21,26,0,1
8,20,24,0,1
2,18,25,0,1
7,14,20,0,1
7,14,21,0,1
7,14,22,0,1
7,14,23,0,1
7,14,24,0,1
7,14,25,0,1
7,15,20,0,1
7,16,20,0,1
7,17,20,0,1
7,18,20,0,1
7,19,20,0,1
7,20,20,0,1
7,21,20,0,1
7,14,26,0,1
7,14,27,0,1
7,14,28,0,1
7,14,29,0,1
7,22,20,0,1
7,23,20,0,1
7,24,20,0,1
7,24,21,0,1
7,24,22,0,1
7,24,23,0,1
7,24,24,0,1
7,24,25,0,1
7,24,26,0,1
7,24,27,0,1
7,24,28,0,1
7,24,29,0,1
7,24,30,0,1
7,23,30,0,1
7,22,30,0,1
7,21,30,0,1
7,20,30,0,1
7,19,30,0,1
7,18,30,0,1
7,17,30,0,1
7,15,30,0,1
7,14,30,0,1
7,16,30,0,1
3,18,22,0,1
1,19,28,0,1
9,12,25,0,1
1,18,18,0,1
9,25,25,0,1
3,19,32,0,1
